,id,Group,time-point,HPRT1,MX1,IRF7,OAS1,MX1 Ct ratio,IRF7 Ct ratio,OAS1 Ct ratio,MX1 Ct log,IRF7 Ct log,OAS1 Ct log,delta MX1,delta HPRT1,delta-delta MX1,Fold Change MX1,delta IRF7,delta-delta IRF7,Fold Change IRF7,delta OAS1,delta-delta OAS1,Fold Change OAS1
0,1,uninfected control,Bleed 9-9,32.1731351017804,31.0745797571122,29.9659352361281,32.2424144230557,0.9658548866564325,0.9313961832233701,1.002153328267703,0.03474167690645579,0.0710705463342792,-0.002151013179223472,0.5639666359097184,-0.3098462010635217,0.8738128369732401,0.545702728782326,0.394989172877537,0.7048353739410587,0.6135124925976351,0.8018418388008826,1.1116880398644042,0.4627522661081738
1,2,uninfected control,Bleed 9-9,31.7298577233998,30.6777462022506,29.3867408128009,31.9515578817724,0.9668415934820502,0.9261541942285192,1.0069871147959515,0.033720609272210704,0.07671454175279704,-0.006962818019954143,0.1671330810481173,-0.7531235794441251,0.9202566604922424,0.5284150050410872,-0.18420525044966496,0.5689183289944602,0.674122026854663,0.5109852975175819,1.264108876961707,0.41635646276538524
2,3,uninfected control,Bleed 9-9,33.0949949331716,30.7200280976785,29.9115112975453,31.7431664587459,0.9282378849040815,0.9038077013743414,0.9591530841096839,0.07446723755433568,0.1011386609366578,0.04170458794368273,0.20941497647601892,0.6120136303276738,-0.40259865385165483,1.321886815714449,0.3405652342947363,-0.27144839603293747,1.2070190083023367,0.3025938744910839,-0.30941975583658987,1.2392091964436016
3,4,uninfected control,Bleed 9-9,32.3095698324451,30.8774057632665,30.0625309973927,31.7208359712791,0.9556736881176168,0.9304528396167028,0.9817783441804045,0.04533875461812597,0.07208388702497798,0.018389714863209384,0.3667926420640164,-0.17341147039882543,0.5402041124628418,0.6876736101397817,0.49158493414213567,0.6649964045409611,0.6306902762088066,0.2802633870242843,0.45367485742310976,0.7301805487875574
4,5,uninfected control,Bleed 9-9,33.1073489234227,29.2033057857046,28.5280119723858,29.544888186421,0.8820792583922031,0.8616821612135449,0.8923966776910568,0.12547336489002514,0.14886879880338308,0.11384453932282675,-1.3073073354978817,0.6243676205787736,-1.9316749560766553,3.8149785781727434,-1.0429340908647617,-1.6673017114435353,3.1761998943451344,-1.895684397833815,-2.5200520184125885,5.736027808939748
5,6,DMSO + HIV,Bleed 9-9,32.6755037700205,29.1823359300633,28.46276895116,29.7598629696656,0.893095210878978,0.8710736076630701,0.910769828649743,0.11306208466365765,0.1380287963282834,0.0934650715492491,-1.3282771911391826,0.1925224671765733,-1.520799658315756,2.8695005646941665,-1.1081771120905621,-1.3006995792671354,2.4634831081405397,-1.6807096145892153,-1.8732320817657886,3.6635240377403275
6,7,rapamycin + HIV,Bleed 9-9,33.7700909346283,29.9101844878085,29.6339304274053,30.9139492252104,0.885700442610837,0.877520006824094,0.9154239260135016,0.12137648643675167,0.1306555241024903,0.08836801388163912,-0.6004286333939817,1.287109631784375,-1.8875382651783568,3.700033326261761,0.06298436415473674,-1.2241252676296384,2.336137624690362,-0.526623359044418,-1.8137329908287931,3.515507545060172
7,8,spermidine + HIV,Bleed 9-9,34.6601726336612,31.3442744777474,30.9972162339329,32.5492652584257,0.9043311702177309,0.8943179989769896,0.9390970322754414,0.10055964693918391,0.11169386350245451,0.06283646935605205,0.8336613565449191,2.177191330817273,-1.3435299742723537,2.537714857436294,1.4262701706823364,-0.7509211601349364,1.6828669973645671,1.1086926741708822,-1.0684986566463905,2.097249724300289
8,9,DMSO + HIV,Bleed 9-9,33.1501306814423,29.5537783034231,29.2186308618915,30.4865907994534,0.891513176446316,0.8814031878989943,0.9196522056704901,0.1148350617025623,0.12624010972239064,0.08375971772785519,-0.9568348177793808,0.6671493785983742,-1.623984196377755,3.082250669546836,-0.3523152013590618,-1.019464579957436,2.0271664880124383,-0.9539817848014174,-1.6211311633997916,3.0761613206976395
9,10,rapamycin + HIV,Bleed 9-9,33.5641047440803,30.3122428619893,30.1262865492373,31.2330730771264,0.9031148929224894,0.897574560052899,0.9305498631729473,0.10190549897165577,0.10805908680240799,0.07197961683107983,-0.1983702592131813,1.0811234412363788,-1.2794937004495601,2.4275376989489383,0.5553404859867364,-0.5257829552496425,1.4397147058440998,-0.2074995071284178,-1.2886229483647966,2.4429476499739167
10,11,spermidine + HIV,Bleed 9-9,32.6684820640639,29.2113708677366,28.7212589749862,30.0966356909607,0.8941759464199225,0.8791733548765114,0.9212743840359728,0.11185271509681571,0.12877318245238384,0.08199736740447941,-1.2992422534658807,0.18550076121997705,-1.4847430146858578,2.798673162926116,-0.8496870882643641,-1.0351878494843412,2.0493804730747587,-1.3439368932941171,-1.5294376545140942,2.8867329573100213
11,12,DMSO + HIV,Bleed 9-9,32.5580720139785,29.2733118920971,28.8973542339181,30.0925767560599,0.8991107298837867,0.8875634350065721,0.9242739171760519,0.1063490820354963,0.11927528412311512,0.07874680411200088,-1.2373012291053804,0.07509071113457821,-1.3123919402399586,2.483529597540077,-0.6735918293324623,-0.7486825404670405,1.6802577294891232,-1.347995828194918,-1.4230865393294962,2.6815860319129508
12,13,rapamycin + HIV,Bleed 9-9,33.5398940171035,30.1145300104819,29.2584262761507,30.6892467694372,0.8978719490027353,0.8723470104357072,0.9150072672795977,0.10772781661300841,0.13656798648599125,0.08882327135608231,-0.396083110720582,1.0569127142595747,-1.4529958249801567,2.7377597033605556,-0.3125197870998626,-1.3694325013594373,2.5836891411846885,-0.7513258148176156,-1.8082385290771903,3.5021443005927773
