,id,plate info,Target,Ct
0,1,B77 10-20#1,HPRT1,30.3691189393416
1,2,B77 10-20#2,HPRT1,29.9049258028318
2,3,B77 10-20#3,HPRT1,31.2109160051341
3,4,B77 10-20#4,HPRT1,31.4062711969457
4,5,B77 10-20#5,HPRT1,30.0434609427426
5,6,B77 10-20#6,HPRT1,32.1069932259582
6,7,B77 10-20#7,HPRT1,31.7151711653477
7,8,B77 10-20#8,HPRT1,31.8768074100352
8,9,B77 10-20#9,HPRT1,30.5687711341735
9,10,B77 10-20#10,HPRT1,31.5989294790742
10,11,B77 10-20#11,HPRT1,32.3455598367031
11,12,B77 10-20#12,HPRT1,32.2762641254441
12,16,B77 10-20#16,HPRT1,32.1541185576972
13,17,B77 10-20#17,HPRT1,30.9039490022775
14,18,B77 10-20#18,HPRT1,32.3549631236114
15,20,B77 10-20#20,HPRT1,32.3232657820879
16,21,B77 10-20#21,HPRT1,32.4304654706513
17,22,B77 10-20#22,HPRT1,32.4165943279823
18,23,B77 10-20#23,HPRT1,31.1151249300837
19,24,B77 10-20#24,HPRT1,31.289233215077
20,27,B77 10-20#27,HPRT1,32.4120617265205
21,28,B77 10-20#28,HPRT1,32.3364689869692
22,31,B77 10-20#31,HPRT1,31.066826501038
23,32,B77 10-20#32,HPRT1,32.3293563299299
24,22,B77 10-20#22,HPRT1,30.9047208042329
25,1,B77 10-20#1,MX1,28.1928740100715
26,2,B77 10-20#2,MX1,28.0956869282013
27,3,B77 10-20#3,MX1,28.8793458811149
28,4,B77 10-20#4,MX1,28.9619381410947
29,5,B77 10-20#5,MX1,27.934012361921
30,6,B77 10-20#6,MX1,28.3981477575029
31,7,B77 10-20#7,MX1,29.1721857472455
32,8,B77 10-20#8,MX1,28.434191549554
33,9,B77 10-20#9,MX1,27.305196955986
34,10,B77 10-20#10,MX1,29.096036840715
35,11,B77 10-20#11,MX1,28.827345271977
36,12,B77 10-20#12,MX1,29.1432127752241
37,16,B77 10-20#16,MX1,29.2919221611517
38,17,B77 10-20#17,MX1,27.8165235481205
39,18,B77 10-20#18,MX1,29.0786883704571
40,20,B77 10-20#20,MX1,29.580294413703
41,21,B77 10-20#21,MX1,28.6965955177186
42,22,B77 10-20#22,MX1,29.5428643071318
43,23,B77 10-20#23,MX1,28.1876918374069
44,24,B77 10-20#24,MX1,27.4757464395993
45,27,B77 10-20#27,MX1,28.8574634494318
46,28,B77 10-20#28,MX1,29.3038307472113
47,31,B77 10-20#31,MX1,27.6155451062095
48,32,B77 10-20#32,MX1,28.9934580521826
49,22,B77 10-20#22,MX1,27.4424367770816
50,1,B77 10-20#1,IRF7,28.2518518049578
51,2,B77 10-20#2,IRF7,27.707154208653
52,3,B77 10-20#3,IRF7,28.7326430438968
53,4,B77 10-20#4,IRF7,28.8901688814404
54,5,B77 10-20#5,IRF7,28.0891291467855
55,6,B77 10-20#6,IRF7,28.1339404737472
56,7,B77 10-20#7,IRF7,28.5620308126176
57,8,B77 10-20#8,IRF7,28.1709919850831
58,9,B77 10-20#9,IRF7,27.4554014952666
59,10,B77 10-20#10,IRF7,29.1407066549849
60,11,B77 10-20#11,IRF7,28.6213184580957
61,12,B77 10-20#12,IRF7,29.1407650017984
62,16,B77 10-20#16,IRF7,29.2641155401476
63,17,B77 10-20#17,IRF7,27.5333713583415
64,18,B77 10-20#18,IRF7,29.0861895172581
65,20,B77 10-20#20,IRF7,29.0516870295367
66,21,B77 10-20#21,IRF7,28.6651673210564
67,22,B77 10-20#22,IRF7,29.1786075831891
68,23,B77 10-20#23,IRF7,28.3677081073248
69,24,B77 10-20#24,IRF7,28.0236181568257
70,27,B77 10-20#27,IRF7,28.4431728928053
71,28,B77 10-20#28,IRF7,28.637789066428
72,31,B77 10-20#31,IRF7,27.8323885858081
73,32,B77 10-20#32,IRF7,28.9064293803206
74,22,B77 10-20#22,IRF7,27.6926781581008
75,1,B77 10-20#1,OAS1,29.0447249108361
76,2,B77 10-20#2,OAS1,28.463485658297
77,3,B77 10-20#3,OAS1,29.2906340878263
78,4,B77 10-20#4,OAS1,29.0739327854852
79,5,B77 10-20#5,OAS1,28.6033450767734
80,6,B77 10-20#6,OAS1,28.2270076953193
81,7,B77 10-20#7,OAS1,29.1344701285339
82,8,B77 10-20#8,OAS1,28.378144355095
83,9,B77 10-20#9,OAS1,27.4115202720934
84,10,B77 10-20#10,OAS1,29.5625976259332
85,11,B77 10-20#11,OAS1,28.8628891579473
86,12,B77 10-20#12,OAS1,29.2093640116556
87,16,B77 10-20#16,OAS1,29.2151802428558
88,17,B77 10-20#17,OAS1,27.5345586566926
89,18,B77 10-20#18,OAS1,28.8348273843258
90,20,B77 10-20#20,OAS1,29.2804801081449
91,21,B77 10-20#21,OAS1,28.5531431214206
92,22,B77 10-20#22,OAS1,29.1339231736717
93,23,B77 10-20#23,OAS1,28.4908680947683
94,24,B77 10-20#24,OAS1,27.4923272790444
95,27,B77 10-20#27,OAS1,28.5032270220977
96,28,B77 10-20#28,OAS1,29.0959378912846
97,31,B77 10-20#31,OAS1,27.8375164979559
98,32,B77 10-20#32,OAS1,28.8390521330935
99,22,B77 10-20#22,OAS1,27.4629507086921
