,id,plate info,Target,Ct
0,1,B77 9-9#1,HPRT1,32.1731351017804
1,2,B77 9-9#2,HPRT1,31.7298577233998
2,3,B77 9-9#3,HPRT1,33.0949949331716
3,4,B77 9-9#4,HPRT1,32.3095698324451
4,5,B77 9-9#5,HPRT1,33.1073489234227
5,6,B77 9-9#6,HPRT1,32.6755037700205
6,7,B77 9-9#7,HPRT1,33.7700909346283
7,8,B77 9-9#8,HPRT1,34.6601726336612
8,9,B77 9-9#9,HPRT1,33.1501306814423
9,10,B77 9-9#10,HPRT1,33.5641047440803
10,11,B77 9-9#11,HPRT1,32.6684820640639
11,12,B77 9-9#12,HPRT1,32.5580720139785
12,13,B77 9-9#13,HPRT1,33.5398940171035
13,16,B77 9-9#16,HPRT1,33.2486762150449
14,17,B77 9-9#17,HPRT1,34.1219422470882
15,18,B77 9-9#18,HPRT1,33.4590931034294
16,19,B77 9-9#19,HPRT1,32.1622625035359
17,20,B77 9-9#20,HPRT1,31.9359153286105
18,21,B77 9-9#21,HPRT1,33.2682347552499
19,22,B77 9-9#22,HPRT1,35.0322757648446
20,23,B77 9-9#23,HPRT1,32.9034577039187
21,24,B77 9-9#24,HPRT1,32.9790571630009
22,26,B77 9-9#26,HPRT1,32.9466423670108
23,27,B77 9-9#27,HPRT1,33.1775824709688
24,28,B77 9-9#28,HPRT1,32.4378283572228
25,29,B77 9-9#29,HPRT1,33.8497196958939
26,31,B77 9-9#31,HPRT1,32.8915691316721
27,32,B77 9-9#32,HPRT1,33.0213989827911
28,1,B77 9-9#1,OAS1,32.2424144230557
29,2,B77 9-9#2,OAS1,31.9515578817724
30,3,B77 9-9#3,OAS1,31.7431664587459
31,4,B77 9-9#4,OAS1,31.7208359712791
32,5,B77 9-9#5,OAS1,29.544888186421
33,6,B77 9-9#6,OAS1,29.7598629696656
34,7,B77 9-9#7,OAS1,30.9139492252104
35,8,B77 9-9#8,OAS1,32.5492652584257
36,9,B77 9-9#9,OAS1,30.4865907994534
37,10,B77 9-9#10,OAS1,31.2330730771264
38,11,B77 9-9#11,OAS1,30.0966356909607
39,12,B77 9-9#12,OAS1,30.0925767560599
40,13,B77 9-9#13,OAS1,30.6892467694372
41,16,B77 9-9#16,OAS1,30.2320633717123
42,17,B77 9-9#17,OAS1,31.1164883482038
43,18,B77 9-9#18,OAS1,30.4382063221795
44,19,B77 9-9#19,OAS1,29.2567835044138
45,20,B77 9-9#20,OAS1,28.881196170249
46,21,B77 9-9#21,OAS1,29.9733878858239
47,22,B77 9-9#22,OAS1,31.5930704578266
48,23,B77 9-9#23,OAS1,29.7353026388953
49,24,B77 9-9#24,OAS1,30.102131716657
50,26,B77 9-9#26,OAS1,29.3553789634445
51,27,B77 9-9#27,OAS1,30.0727384740071
52,28,B77 9-9#28,OAS1,29.727895420783
53,29,B77 9-9#29,OAS1,30.5361307210336
54,31,B77 9-9#31,OAS1,29.8807490792256
55,32,B77 9-9#32,OAS1,30.1113378578361
56,33,B77 9-9#33,OAS1,30.317510932445
57,1,B77 9-9#1,MX1,31.0745797571122
58,2,B77 9-9#2,MX1,30.6777462022506
59,3,B77 9-9#3,MX1,30.7200280976785
60,4,B77 9-9#4,MX1,30.8774057632665
61,5,B77 9-9#5,MX1,29.2033057857046
62,6,B77 9-9#6,MX1,29.1823359300633
63,7,B77 9-9#7,MX1,29.9101844878085
64,8,B77 9-9#8,MX1,31.3442744777474
65,9,B77 9-9#9,MX1,29.5537783034231
66,10,B77 9-9#10,MX1,30.3122428619893
