,id,plate info,Target,Ct
0,28,B77 9-22#28,HPRT1,32.5128337446209
1,29,B77 9-22#29,HPRT1,33.0187421727239
2,31,B77 9-22#31,HPRT1,31.4961063901749
3,32,B77 9-22#32,HPRT1,33.8352914283354
4,1,B77 9-22#1,HPRT1,30.7650259232404
5,2,B77 9-22#2,HPRT1,31.2802532867732
6,3,B77 9-22#3,HPRT1,32.0499296620835
7,4,B77 9-22#4,HPRT1,31.9012140483356
8,5,B77 9-22#5,HPRT1,32.4074035655351
9,6,B77 9-22#6,HPRT1,32.1042169993337
10,7,B77 9-22#7,HPRT1,34.4514801801653
11,8,B77 9-22#8,HPRT1,33.050567569906
12,9,B77 9-22#9,HPRT1,33.2270665531014
13,10,B77 9-22#10,HPRT1,32.6133494933375
14,11,B77 9-22#11,HPRT1,31.5683829979016
15,12,B77 9-22#12,HPRT1,30.5694901579592
16,13,B77 9-22#13,HPRT1,32.3793617747864
17,16,B77 9-22#16,HPRT1,32.3704342849961
18,17,B77 9-22#17,HPRT1,32.98178439629
19,18,B77 9-22#18,HPRT1,32.6858497636813
20,19,B77 9-22#19,HPRT1,32.6459705127246
21,20,B77 9-22#20,HPRT1,32.4421486015702
22,21,B77 9-22#21,HPRT1,33.9583700145916
23,22,B77 9-22#22,HPRT1,34.3116052425853
24,23,B77 9-22#23,HPRT1,32.1255196085691
25,24,B77 9-22#24,HPRT1,31.5536949093821
26,26,B77 9-22#26,HPRT1,32.1197061357973
27,27,B77 9-22#27,HPRT1,32.8115797718482
28,1,B77 9-22#1,OAS1,30.5602923092083
29,2,B77 9-22#2,OAS1,30.8347791164173
30,3,B77 9-22#3,OAS1,31.1067706008016
31,4,B77 9-22#4,OAS1,30.7038098404221
32,5,B77 9-22#5,OAS1,31.3864350429234
33,6,B77 9-22#6,OAS1,30.1504369638543
34,7,B77 9-22#7,OAS1,32.0005519798294
35,8,B77 9-22#8,OAS1,30.9603914499163
36,9,B77 9-22#9,OAS1,31.007545616326
37,10,B77 9-22#10,OAS1,31.1052635819279
38,11,B77 9-22#11,OAS1,29.1631980820137
39,12,B77 9-22#12,OAS1,28.4686175656856
40,13,B77 9-22#13,OAS1,29.7563875527453
41,16,B77 9-22#16,OAS1,30.3654143612599
42,17,B77 9-22#17,OAS1,30.7221185505846
43,18,B77 9-22#18,OAS1,29.9451511846359
44,19,B77 9-22#19,OAS1,30.210574943385
45,20,B77 9-22#20,OAS1,30.0097556462593
46,21,B77 9-22#21,OAS1,30.577370526736
47,22,B77 9-22#22,OAS1,31.2003625224255
48,23,B77 9-22#23,OAS1,29.851579832597
49,24,B77 9-22#24,OAS1,29.5495969800777
50,26,B77 9-22#26,OAS1,29.5078075128044
51,27,B77 9-22#27,OAS1,30.0744159758953
52,28,B77 9-22#28,OAS1,30.5019501924914
53,29,B77 9-22#29,OAS1,29.4851218735181
54,31,B77 9-22#31,OAS1,29.2003243334316
55,32,B77 9-22#32,OAS1,31.3760762131911
56,33,B77 9-22#33,OAS1,30.2988052052334
57,28,B77 9-22#28,MX1,30.367583765597
58,29,B77 9-22#29,MX1,29.2349263949474
59,31,B77 9-22#31,MX1,28.7624396297977
60,32,B77 9-22#32,MX1,30.8127616176345
61,1,B77 9-22#1,MX1,29.2508508260787
62,2,B77 9-22#2,MX1,29.2034509632958
63,3,B77 9-22#3,MX1,29.8693109410306
64,4,B77 9-22#4,MX1,29.6539316250542
65,5,B77 9-22#5,MX1,30.4274556676659
66,6,B77 9-22#6,MX1,29.1030880106396
67,7,B77 9-22#7,MX1,30.933616148846
68,8,B77 9-22#8,MX1,29.835118591892
69,9,B77 9-22#9,MX1,29.9012991536206
70,10,B77 9-22#10,MX1,30.268084091424
71,11,B77 9-22#11,MX1,28.4560655769892
72,12,B77 9-22#12,MX1,27.9613878031725
73,13,B77 9-22#13,MX1,29.4915691419691
74,16,B77 9-22#16,MX1,29.6030457240629
75,17,B77 9-22#17,MX1,29.9174573592202
76,18,B77 9-22#18,MX1,29.552124216023
77,19,B77 9-22#19,MX1,29.5983963823771
78,20,B77 9-22#20,MX1,29.4504404470226
79,21,B77 9-22#21,MX1,30.2916850437436
80,22,B77 9-22#22,MX1,30.8620399333762
81,23,B77 9-22#23,MX1,29.358836435773
82,24,B77 9-22#24,MX1,29.0373785518787
83,26,B77 9-22#26,MX1,29.2960433497275
84,27,B77 9-22#27,MX1,30.0167709916484
85,1,B77 9-22#1,IRF7,28.9524907152941
86,2,B77 9-22#2,IRF7,29.009725158345
87,3,B77 9-22#3,IRF7,29.4048092633164
88,4,B77 9-22#4,IRF7,29.0377727126309
89,5,B77 9-22#5,IRF7,29.7507808544727
90,6,B77 9-22#6,IRF7,
91,7,B77 9-22#7,IRF7,31.0211786015221
92,8,B77 9-22#8,IRF7,29.5543509671895
93,9,B77 9-22#9,IRF7,29.5513983942875
94,10,B77 9-22#10,IRF7,29.4880269582969
95,11,B77 9-22#11,IRF7,28.2503628341375
96,12,B77 9-22#12,IRF7,27.4597334733148
97,13,B77 9-22#13,IRF7,28.9002537112211
98,16,B77 9-22#16,IRF7,29.060650928567
99,17,B77 9-22#17,IRF7,29.3628862696094
100,18,B77 9-22#18,IRF7,29.2100362722026
101,19,B77 9-22#19,IRF7,29.1005998795374
102,20,B77 9-22#20,IRF7,28.7557540797332
103,21,B77 9-22#21,IRF7,30.14876552236
104,22,B77 9-22#22,IRF7,30.167317953296
105,23,B77 9-22#23,IRF7,28.7134922420482
106,24,B77 9-22#24,IRF7,28.3823579543118
107,26,B77 9-22#26,IRF7,28.7099988829138
108,27,B77 9-22#27,IRF7,29.0879348271784
109,28,B77 9-22#28,IRF7,29.5136265501608
110,29,B77 9-22#29,IRF7,28.7790298387752
111,31,B77 9-22#31,IRF7,28.2097431708824
112,32,B77 9-22#32,IRF7,30.5047537260212
113,33,B77 9-22#33,IRF7,29.4812904975009
