,id,plate info,Target,Ct
0,1,B77 10-7#1,MX1,28.1842525230877
1,2,B77 10-7#2,MX1,28.2725611714256
2,3,B77 10-7#3,MX1,29.3538884864665
3,4,B77 10-7#4,MX1,29.3618938425768
4,5,B77 10-7#5,MX1,27.880683967313
5,6,B77 10-7#6,MX1,29.4083906419396
6,7,B77 10-7#7,MX1,29.2576549965106
7,8,B77 10-7#8,MX1,28.3515816763106
8,9,B77 10-7#9,MX1,27.9626751113234
9,10,B77 10-7#10,MX1,29.440599587582
10,11,B77 10-7#11,MX1,29.3353104514992
11,12,B77 10-7#12,MX1,29.2767554917427
12,13,B77 10-7#13,MX1,27.6985576100319
13,16,B77 10-7#16,MX1,27.6593297049544
14,17,B77 10-7#17,MX1,28.4308722717716
15,18,B77 10-7#18,MX1,28.9942282540752
16,19,B77 10-7#19,MX1,27.6830913137035
17,20,B77 10-7#20,MX1,27.7592331912032
18,21,B77 10-7#21,MX1,29.3480801404741
19,22,B77 10-7#22,MX1,29.1388715200973
20,23,B77 10-7#23,MX1,29.0025447117729
21,24,B77 10-7#24,MX1,28.3310498890676
22,26,B77 10-7#26,MX1,26.7875027885523
23,27,B77 10-7#27,MX1,30.106642913227
24,28,B77 10-7#28,MX1,28.5720774452964
25,29,B77 10-7#29,MX1,29.1730600655053
26,31,B77 10-7#31,MX1,27.1057739303072
27,32,B77 10-7#32,MX1,29.2164118629653
28,33,B77 10-7#33,MX1,29.4623943233762
29,1,B77 10-7#1,HPRT1,30.4522621551049
30,2,B77 10-7#2,HPRT1,30.6779092271601
31,3,B77 10-7#3,HPRT1,32.2785722828826
32,4,B77 10-7#4,HPRT1,32.0632023147173
33,5,B77 10-7#5,HPRT1,30.667366382029
34,6,B77 10-7#6,HPRT1,32.8914210766448
35,7,B77 10-7#7,HPRT1,32.2583696899772
36,8,B77 10-7#8,HPRT1,31.9687324858524
37,9,B77 10-7#9,HPRT1,31.7259805491546
38,10,B77 10-7#10,HPRT1,32.856425059609
39,11,B77 10-7#11,HPRT1,33.0612782750806
40,12,B77 10-7#12,HPRT1,32.8009373533627
41,13,B77 10-7#13,HPRT1,31.3152250978664
42,16,B77 10-7#16,HPRT1,31.3324457646135
43,17,B77 10-7#17,HPRT1,31.7493408509687
44,18,B77 10-7#18,HPRT1,32.2546743786986
45,19,B77 10-7#19,HPRT1,31.6226022539506
46,20,B77 10-7#20,HPRT1,31.4416868780093
47,21,B77 10-7#21,HPRT1,33.2181231794037
48,22,B77 10-7#22,HPRT1,32.6299002911669
49,23,B77 10-7#23,HPRT1,32.2843925990494
50,24,B77 10-7#24,HPRT1,31.8123372165353
51,26,B77 10-7#26,HPRT1,30.9812196672319
52,27,B77 10-7#27,HPRT1,34.2408823384576
53,28,B77 10-7#28,HPRT1,31.7203065117984
54,29,B77 10-7#29,HPRT1,33.4430961510213
55,31,B77 10-7#31,HPRT1,31.251689010196
56,32,B77 10-7#32,HPRT1,32.8915198569357
57,33,B77 10-7#33,HPRT1,33.2706573587099
58,1,B77 10-7#1,IRF7,28.415439765645
59,2,B77 10-7#2,IRF7,28.6968122271047
60,3,B77 10-7#3,IRF7,29.9353004421247
61,4,B77 10-7#4,IRF7,29.4973816875158
62,5,B77 10-7#5,IRF7,28.1976111967846
63,6,B77 10-7#6,IRF7,29.6838371190674
64,7,B77 10-7#7,IRF7,29.8068211369468
65,8,B77 10-7#8,IRF7,28.9946569173819
66,9,B77 10-7#9,IRF7,28.3580498524684
67,10,B77 10-7#10,IRF7,29.7759127738462
68,11,B77 10-7#11,IRF7,29.5543930644876
69,12,B77 10-7#12,IRF7,29.3322253228168
70,13,B77 10-7#13,IRF7,28.053833192215
71,16,B77 10-7#16,IRF7,28.0086090133041
72,17,B77 10-7#17,IRF7,28.7799415463163
73,18,B77 10-7#18,IRF7,29.1308898050127
74,19,B77 10-7#19,IRF7,28.1657416764545
75,20,B77 10-7#20,IRF7,27.9450308776854
76,21,B77 10-7#21,IRF7,29.4742659395924
77,22,B77 10-7#22,IRF7,29.622880590732
78,23,B77 10-7#23,IRF7,29.4005557152306
79,24,B77 10-7#24,IRF7,28.8233074208689
80,26,B77 10-7#26,IRF7,27.140194241745
81,27,B77 10-7#27,IRF7,29.6051075537419
82,28,B77 10-7#28,IRF7,28.1316083172621
83,29,B77 10-7#29,IRF7,29.2761094192614
84,31,B77 10-7#31,IRF7,27.5046961845536
85,32,B77 10-7#32,IRF7,29.4958213636817
86,33,B77 10-7#33,IRF7,29.5207282569236
87,1,B77 10-7#1,OAS1,29.6308576728961
88,2,B77 10-7#2,OAS1,29.8597484102865
89,3,B77 10-7#3,OAS1,31.0820516274884
90,4,B77 10-7#4,OAS1,30.4834998581471
91,5,B77 10-7#5,OAS1,29.2264090900008
92,6,B77 10-7#6,OAS1,30.3643091362526
93,7,B77 10-7#7,OAS1,30.3460803338339
94,8,B77 10-7#8,OAS1,29.4590477552767
95,9,B77 10-7#9,OAS1,28.9338623010133
96,10,B77 10-7#10,OAS1,30.4670034696685
97,11,B77 10-7#11,OAS1,30.2980018530106
98,12,B77 10-7#12,OAS1,30.1837582929987
99,13,B77 10-7#13,OAS1,28.6905688507944
100,16,B77 10-7#16,OAS1,28.7846335459816
101,17,B77 10-7#17,OAS1,29.5006874454938
102,18,B77 10-7#18,OAS1,29.5807885233245
103,19,B77 10-7#19,OAS1,28.6624801076812
104,20,B77 10-7#20,OAS1,28.6554866615395
105,21,B77 10-7#21,OAS1,30.0663575731262
106,22,B77 10-7#22,OAS1,30.0600175859024
107,23,B77 10-7#23,OAS1,29.9825339338447
108,24,B77 10-7#24,OAS1,29.1383409968565
109,26,B77 10-7#26,OAS1,27.4627993072684
110,27,B77 10-7#27,OAS1,30.3626262548369
111,28,B77 10-7#28,OAS1,29.2782256175607
112,29,B77 10-7#29,OAS1,29.8597898737248
113,31,B77 10-7#31,OAS1,28.1678645534875
114,32,B77 10-7#32,OAS1,30.2407190688398
115,33,B77 10-7#33,OAS1,30.0263285928127
